study_name,questionnaire_name,answer_list,value,label,label_de,answer_list_name
twinlife-panel,twinlife-panel-2014-f2f_alteri-onlinefragebogen,mis,-85,-85: unknown,-85: unbekannt,mis
twinlife-panel,twinlife-panel-2014-f2f_alteri-onlinefragebogen,mis,-86,-86: not available/empty/not codable,-86: nicht vorhanden/leer/nicht kodierbar,mis
twinlife-panel,twinlife-panel-2014-f2f_alteri-onlinefragebogen,mis,-87,-87: multiple answers,-87: Mehrfachnennung,mis
twinlife-panel,twinlife-panel-2014-f2f_alteri-onlinefragebogen,mis,-88,"-88: subject readable, but mark not","-88: Fach erkennbar, aber Note nicht",mis
twinlife-panel,twinlife-panel-2014-f2f_alteri-onlinefragebogen,mis,-89,-89: unreadable,-89: nicht erkennbar/lesbar,mis
twinlife-panel,twinlife-panel-2014-f2f_alteri-onlinefragebogen,mis,-93,-93: unclear classification of system missing,-93: unklares Systemmissing,mis
twinlife-panel,twinlife-panel-2014-f2f_alteri-onlinefragebogen,mis,-94,-94: technical error / faulty insertion,-94: technischer Fehler / Fehleingabe,mis
twinlife-panel,twinlife-panel-2014-f2f_alteri-onlinefragebogen,mis,-95,-95: doesn't apply (screened out),-95: trifft nicht zu (ueberfiltert),mis
twinlife-panel,twinlife-panel-2014-f2f_alteri-onlinefragebogen,mis,-96,-96: I can't remember,-96: ich kann mich nicht erinnern,mis
twinlife-panel,twinlife-panel-2014-f2f_alteri-onlinefragebogen,mis,-97,-97: doesn't apply (specification of other category),-97: tnz (Angabe anderer Kategorie),mis
twinlife-panel,twinlife-panel-2014-f2f_alteri-onlinefragebogen,mis,-98,-98: don't know,-98: weiss nicht,mis
twinlife-panel,twinlife-panel-2014-f2f_alteri-onlinefragebogen,mis,-99,-99: not specified (refused to answer),-99: keine Angabe (Antwortverweigerung),mis
twinlife-panel,twinlife-panel-2014-f2f_alteri-onlinefragebogen,sex,1,1: male,1: maennlich,sex
twinlife-panel,twinlife-panel-2014-f2f_alteri-onlinefragebogen,sex,2,2: female,2: weiblich,sex
twinlife-panel,twinlife-panel-2014-f2f_alteri-onlinefragebogen,sex,-93,-93: unclear classification of system missing,-93: unklares Systemmissing,sex
twinlife-panel,twinlife-panel-2014-f2f_alteri-onlinefragebogen,sex,-94,-94: technical error / faulty insertion,-94: technischer Fehler / Fehleingabe,sex
twinlife-panel,twinlife-panel-2014-f2f_alteri-onlinefragebogen,sex,-95,-95: doesn't apply (screened out),-95: trifft nicht zu (ueberfiltert),sex
twinlife-panel,twinlife-panel-2014-f2f_alteri-onlinefragebogen,sex,-98,-98: don't know,-98: weiss nicht,sex
twinlife-panel,twinlife-panel-2014-f2f_alteri-onlinefragebogen,sex,-99,-99: not specified (refused to answer),-99: keine Angabe (Antwortverweigerung),sex
twinlife-panel,twinlife-panel-2014-f2f_alteri-onlinefragebogen,bas0600,1,1: full siblings (both parents are the same),1: Vollgeschwister (beide Elternteile sind gleich),bas0600
twinlife-panel,twinlife-panel-2014-f2f_alteri-onlinefragebogen,bas0600,2,2: half sibling (one parent is the same),2: Halbgeschwister (ein Elternteil ist gleich),bas0600
twinlife-panel,twinlife-panel-2014-f2f_alteri-onlinefragebogen,bas0600,3,3: step sibling (no parent is the same),3: Stiefgeschwister (kein gleicher Elternteil),bas0600
twinlife-panel,twinlife-panel-2014-f2f_alteri-onlinefragebogen,bas0600,4,4: adoptive sibling(no parent is the same),4: Adoptivgeschwister (kein gleicher Elternteil),bas0600
twinlife-panel,twinlife-panel-2014-f2f_alteri-onlinefragebogen,bas0600,-93,-93: unclear classification of system missing,-93: unklares Systemmissing,bas0600
twinlife-panel,twinlife-panel-2014-f2f_alteri-onlinefragebogen,bas0600,-94,-94: technical error / faulty insertion,-94: technischer Fehler / Fehleingabe,bas0600
twinlife-panel,twinlife-panel-2014-f2f_alteri-onlinefragebogen,bas0600,-95,-95: doesn't apply (screened out),-95: trifft nicht zu (ueberfiltert),bas0600
twinlife-panel,twinlife-panel-2014-f2f_alteri-onlinefragebogen,bas0600,-98,-98: don't know,-98: weiss nicht,bas0600
twinlife-panel,twinlife-panel-2014-f2f_alteri-onlinefragebogen,bas0600,-99,-99: not specified (refused to answer),-99: keine Angabe (Antwortverweigerung),bas0600
