study_name,dataset_name,variable_name,instrument_name,question_name
twinlife,person,aas0100s,twinlife-2014-F2F_Modul6_Betreuung,aas0100s
twinlife,person,aas0100t,twinlife-2014-F2F_Modul6_Betreuung,aas0100t
twinlife,person,aas0100u,twinlife-2014-F2F_Modul6_Betreuung,aas0100u
twinlife,person,aas0200s,twinlife-2014-F2F_Modul6_Betreuung,aas0100s
twinlife,person,aas0200t,twinlife-2014-F2F_Modul6_Betreuung,aas0100t
twinlife,person,aas0200u,twinlife-2014-F2F_Modul6_Betreuung,aas0100u
twinlife,person,aas0300s,twinlife-2014-F2F_Modul6_Betreuung,aas0100s
twinlife,person,aas0300t,twinlife-2014-F2F_Modul6_Betreuung,aas0100t
twinlife,person,aas0300u,twinlife-2014-F2F_Modul6_Betreuung,aas0100u
twinlife,person,aas0400s,twinlife-2014-F2F_Modul6_Betreuung,aas0100s
twinlife,person,aas0400t,twinlife-2014-F2F_Modul6_Betreuung,aas0100t
twinlife,person,aas0400u,twinlife-2014-F2F_Modul6_Betreuung,aas0100u
twinlife,person,aas0500s,twinlife-2014-F2F_Modul6_Betreuung,aas0100s
twinlife,person,aas0500t,twinlife-2014-F2F_Modul6_Betreuung,aas0100t
twinlife,person,aas0500u,twinlife-2014-F2F_Modul6_Betreuung,aas0100u
twinlife,person,aas0600s,twinlife-2014-F2F_Modul6_Betreuung,aas0100s
twinlife,person,aas0600t,twinlife-2014-F2F_Modul6_Betreuung,aas0100t
twinlife,person,aas0600u,twinlife-2014-F2F_Modul6_Betreuung,aas0100u
twinlife,person,aas0700s,twinlife-2014-F2F_Modul6_Betreuung,aas0100s
twinlife,person,aas0700t,twinlife-2014-F2F_Modul6_Betreuung,aas0100t
twinlife,person,aas0700u,twinlife-2014-F2F_Modul6_Betreuung,aas0100u
twinlife,person,aas9700s,twinlife-2014-F2F_Modul6_Betreuung,aas0100s
twinlife,person,aas9700t,twinlife-2014-F2F_Modul6_Betreuung,aas0100t
twinlife,person,aas9700u,twinlife-2014-F2F_Modul6_Betreuung,aas0100u
twinlife,person,aas9800s,twinlife-2014-F2F_Modul6_Betreuung,aas0100s
twinlife,person,aas9800t,twinlife-2014-F2F_Modul6_Betreuung,aas0100t
twinlife,person,aas9800u,twinlife-2014-F2F_Modul6_Betreuung,aas0100u
twinlife,person,acc0100,twinlife-2014-F2F_Modul4_CASI,acc0100
twinlife,person,acc0101,twinlife-2014-F2F_Modul4_CASI,acc0100
twinlife,person,acc0102,twinlife-2014-F2F_Modul4_CASI,acc0100
twinlife,person,acc0103,twinlife-2014-F2F_Modul4_CASI,acc0100
twinlife,person,acc0104,twinlife-2014-F2F_Modul4_CASI,acc0100
twinlife,person,acp0100s,twinlife-2014-F2F_Modul4_CASI,acp0100s
twinlife,person,acp0100t,twinlife-2014-F2F_Modul4_CASI,acp0100t
twinlife,person,acp0100u,twinlife-2014-F2F_Modul4_CASI,acp0100u
twinlife,person,acp0101s,twinlife-2014-F2F_Modul4_CASI,acp0100s
twinlife,person,acp0101t,twinlife-2014-F2F_Modul4_CASI,acp0100t
twinlife,person,acp0101u,twinlife-2014-F2F_Modul4_CASI,acp0100u
twinlife,person,acp0102s,twinlife-2014-F2F_Modul4_CASI,acp0100s
twinlife,person,acp0102t,twinlife-2014-F2F_Modul4_CASI,acp0100t
twinlife,person,acp0102u,twinlife-2014-F2F_Modul4_CASI,acp0100u
twinlife,person,acp0103s,twinlife-2014-F2F_Modul4_CASI,acp0100s
twinlife,person,acp0103t,twinlife-2014-F2F_Modul4_CASI,acp0100t
twinlife,person,acp0103u,twinlife-2014-F2F_Modul4_CASI,acp0100u
twinlife,person,asc0100,twinlife-2014-F2F_Modul3_Basismodul,asc0100
twinlife,person,asc0101,twinlife-2014-F2F_Modul3_Basismodul,asc0100
twinlife,person,asc0102,twinlife-2014-F2F_Modul3_Basismodul,asc0100
twinlife,person,asc0103,twinlife-2014-F2F_Modul3_Basismodul,asc0103
twinlife,person,asc0104,twinlife-2014-F2F_Modul3_Basismodul,asc0103
twinlife,person,asc0105,twinlife-2014-F2F_Modul3_Basismodul,asc0103
twinlife,person,asc0106,twinlife-2014-F2F_Modul3_Basismodul,asc0103
twinlife,person,bdy0100,twinlife-2014-F2F_Modul5_CASI,bdy0100
twinlife,person,bdy0100s,twinlife-2014-F2F_Modul7_EueK,bdy0100s
twinlife,person,bdy0200,twinlife-2014-F2F_Modul5_CASI,bdy0100
twinlife,person,bdy0200s,twinlife-2014-F2F_Modul7_EueK,bdy0200s
twinlife,person,bdy0200t,twinlife-2014-F2F_Modul7_EueK,bdy0200t
twinlife,person,bdy0200u,twinlife-2014-F2F_Modul7_EueK,bdy0200u
twinlife,person,cai0100s,twinlife-2014-F2F_Modul6_Betreuung,cai0100s
twinlife,person,cai0100t,twinlife-2014-F2F_Modul6_Betreuung,cai0100t
twinlife,person,cai0100u,twinlife-2014-F2F_Modul6_Betreuung,cai0100u
twinlife,person,cai0200s,twinlife-2014-F2F_Modul6_Betreuung,cai0200s
twinlife,person,cai0200t,twinlife-2014-F2F_Modul6_Betreuung,cai0200t
twinlife,person,cai0200u,twinlife-2014-F2F_Modul6_Betreuung,cai0200u
twinlife,person,cai0300s,twinlife-2014-F2F_Modul6_Betreuung,cai0300s
twinlife,person,cai0300t,twinlife-2014-F2F_Modul6_Betreuung,cai0300t
twinlife,person,cai0300u,twinlife-2014-F2F_Modul6_Betreuung,cai0300u
twinlife,person,cai1100s,twinlife-2014-F2F_Modul6_Betreuung,cai1100s
twinlife,person,cai1100t,twinlife-2014-F2F_Modul6_Betreuung,cai1100t
twinlife,person,cai1100u,twinlife-2014-F2F_Modul6_Betreuung,cai1100u
twinlife,person,cai1200s,twinlife-2014-F2F_Modul6_Betreuung,cai1200s
twinlife,person,cai1200t,twinlife-2014-F2F_Modul6_Betreuung,cai1200t
twinlife,person,cai1200u,twinlife-2014-F2F_Modul6_Betreuung,cai1200u
