"study","questionnaire","answer_list","value","label","label_de"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","agr4",-99,"-99: not specified (refused to answer)","-99: keine Angabe (Antwortverweigerung)"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","agr4",-98,"-98: don't know","-98: weiss nicht"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","agr4",1,"1: completely disagree","1: lehne voll ab"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","agr4",2,"2","2"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","agr4",3,"3","3"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","agr4",4,"4: completely agree","4: stimme voll zu"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","agr4_2",-99,"-99: not specified (refused to answer)","-99: keine Angabe (Antwortverweigerung)"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","agr4_2",-98,"-98: don't know","-98: weiss nicht"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","agr4_2",1,"1: totally disagree","1: stimme ganz und gar nicht zu"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","agr4_2",2,"2","2"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","agr4_2",3,"3","3"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","agr4_2",4,"4: totally agree","4: stimme ganz und gar zu"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","agr5",-99,"-99: not specified (refused to answer)","-99: keine Angabe (Antwortverweigerung)"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","agr5",-98,"-98: don't know","-98: weiss nicht"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","agr5",1,"1: do not agree at all","1: stimme ueberhaupt nicht zu"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","agr5",2,"2: do not agree","2: stimme nicht zu"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","agr5",3,"3: nor","3: weder noch"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","agr5",4,"4: agree","4: stimme zu"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","agr5",5,"5: totally agree","5: stimme voll und ganz zu"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","agr5_2",-99,"-99: not specified (refused to answer)","-99: keine Angabe (Antwortverweigerung)"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","agr5_2",-98,"-98: don't know","-98: weiss nicht"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","agr5_2",1,"1: strong rejection","1: starke Ablehnung"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","agr5_2",2,"2: rather rejection","2: leichte Ablehnung"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","agr5_2",3,"3: neither rejection nor agreement","3: weder Ablehnung noch Zustimmung"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","agr5_2",4,"4: rather agreement","4: leichte Zustimmung"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","agr5_2",5,"5: strong agreement","5: starke Zustimmung"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","apl5_2",-99,"-99: not specified (refused to answer)","-99: keine Angabe (Antwortverweigerung)"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","apl5_2",-98,"-98: don't know","-98: weiss nicht"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","apl5_2",1,"1: not correct at all","1: stimmt ueberhaupt nicht"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","apl5_2",2,"2: rather not correct","2: stimmt eher nicht"
