"study","dataset","variable","label","label_de","concept","questionnaire","question","item","description","description_de"
"twinlife","ZA6701_person_v3-0-0","aas0100s","extracurricular activities sibling: help with homework","Ausserschulische Aktivitaeten Geschwister: Hausaufgabenbetreuung",,"twinlife-2014-F2F_Modul6_Betreuung","aas0100s",1,"Adapted from: Panel analysis of intimate relationships and family dynamics (pairfam): Pairfam Codebook Child Wave 7 2014/2015.","Adaptiert von: Beziehungs- und Familienpanel (pairfam): Pairfam Codebuch Erziehung Welle 7 2014/2015. ; http://www.pairfam.de/fileadmin/user_upload/redakteur/publis/Dokumentation/Codebooks/Release7.0/Codebuch_Erziehung_de__pairfam_Welle_7_2014-15.pdf"
"twinlife","ZA6701_person_v3-0-0","aas0100t","extracurricular activities twin 1: help with homework","Ausserschulische Aktivitaeten Z1: Hausaufgabenbetreuung",,"twinlife-2014-F2F_Modul6_Betreuung","aas0100t",1,"Adapted from: Panel analysis of intimate relationships and family dynamics (pairfam): Pairfam Codebook Child Wave 7 2014/2015.","Adaptiert von: Beziehungs- und Familienpanel (pairfam): Pairfam Codebuch Erziehung Welle 7 2014/2015. ; http://www.pairfam.de/fileadmin/user_upload/redakteur/publis/Dokumentation/Codebooks/Release7.0/Codebuch_Erziehung_de__pairfam_Welle_7_2014-15.pdf"
"twinlife","ZA6701_person_v3-0-0","aas0100u","extracurricular activities twin 2: help with homework","Ausserschulische Aktivitaeten Z2: Hausaufgabenbetreuung",,"twinlife-2014-F2F_Modul6_Betreuung","aas0100u",1,"Adapted from: Panel analysis of intimate relationships and family dynamics (pairfam): Pairfam Codebook Child Wave 7 2014/2015.","Adaptiert von: Beziehungs- und Familienpanel (pairfam): Pairfam Codebuch Erziehung Welle 7 2014/2015. ; http://www.pairfam.de/fileadmin/user_upload/redakteur/publis/Dokumentation/Codebooks/Release7.0/Codebuch_Erziehung_de__pairfam_Welle_7_2014-15.pdf"
"twinlife","ZA6701_person_v3-0-0","aas0200s","extracurricular activities sibling: remedial groups","Ausserschulische Aktivitaeten Geschwister: Foerdergruppen",,"twinlife-2014-F2F_Modul6_Betreuung","aas0100s",2,"Adapted from: Panel analysis of intimate relationships and family dynamics (pairfam): Pairfam Codebook Child Wave 7 2014/2015.","Adaptiert von: Beziehungs- und Familienpanel (pairfam): Pairfam Codebuch Erziehung Welle 7 2014/2015. ; http://www.pairfam.de/fileadmin/user_upload/redakteur/publis/Dokumentation/Codebooks/Release7.0/Codebuch_Erziehung_de__pairfam_Welle_7_2014-15.pdf"
"twinlife","ZA6701_person_v3-0-0","aas0200t","extracurricular activities twin 1: remedial groups","Ausserschulische Aktivitaeten Z1: Foerdergruppen",,"twinlife-2014-F2F_Modul6_Betreuung","aas0100t",2,"Adapted from: Panel analysis of intimate relationships and family dynamics (pairfam): Pairfam Codebook Child Wave 7 2014/2015.","Adaptiert von: Beziehungs- und Familienpanel (pairfam): Pairfam Codebuch Erziehung Welle 7 2014/2015. ; http://www.pairfam.de/fileadmin/user_upload/redakteur/publis/Dokumentation/Codebooks/Release7.0/Codebuch_Erziehung_de__pairfam_Welle_7_2014-15.pdf"
"twinlife","ZA6701_person_v3-0-0","aas0200u","extracurricular activities twin 2: remedial groups","Ausserschulische Aktivitaeten Z2: Foerdergruppen",,"twinlife-2014-F2F_Modul6_Betreuung","aas0100u",2,"Adapted from: Panel analysis of intimate relationships and family dynamics (pairfam): Pairfam Codebook Child Wave 7 2014/2015.","Adaptiert von: Beziehungs- und Familienpanel (pairfam): Pairfam Codebuch Erziehung Welle 7 2014/2015. ; http://www.pairfam.de/fileadmin/user_upload/redakteur/publis/Dokumentation/Codebooks/Release7.0/Codebuch_Erziehung_de__pairfam_Welle_7_2014-15.pdf"
"twinlife","ZA6701_person_v3-0-0","aas0300s","extracurricular activities sibling: additional classes in a specific subject","Ausserschulische Aktivitaeten Geschwister: Fachbezogenes Lernangebot",,"twinlife-2014-F2F_Modul6_Betreuung","aas0100s",3,"Adapted from: Panel analysis of intimate relationships and family dynamics (pairfam): Pairfam Codebook Child Wave 7 2014/2015.","Adaptiert von: Beziehungs- und Familienpanel (pairfam): Pairfam Codebuch Erziehung Welle 7 2014/2015. ; http://www.pairfam.de/fileadmin/user_upload/redakteur/publis/Dokumentation/Codebooks/Release7.0/Codebuch_Erziehung_de__pairfam_Welle_7_2014-15.pdf"
"twinlife","ZA6701_person_v3-0-0","aas0300t","extracurricular activities twin 1: additional classes in a specific subject","Ausserschulische Aktivitaeten Z1: Fachbezogenes Lernangebot",,"twinlife-2014-F2F_Modul6_Betreuung","aas0100t",3,"Adapted from: Panel analysis of intimate relationships and family dynamics (pairfam): Pairfam Codebook Child Wave 7 2014/2015.","Adaptiert von: Beziehungs- und Familienpanel (pairfam): Pairfam Codebuch Erziehung Welle 7 2014/2015. ; http://www.pairfam.de/fileadmin/user_upload/redakteur/publis/Dokumentation/Codebooks/Release7.0/Codebuch_Erziehung_de__pairfam_Welle_7_2014-15.pdf"
"twinlife","ZA6701_person_v3-0-0","aas0300u","extracurricular activities twin 2: additional classes in a specific subject","Ausserschulische Aktivitaeten Z2: Fachbezogenes Lernangebot",,"twinlife-2014-F2F_Modul6_Betreuung","aas0100u",3,"Adapted from: Panel analysis of intimate relationships and family dynamics (pairfam): Pairfam Codebook Child Wave 7 2014/2015.","Adaptiert von: Beziehungs- und Familienpanel (pairfam): Pairfam Codebuch Erziehung Welle 7 2014/2015. ; http://www.pairfam.de/fileadmin/user_upload/redakteur/publis/Dokumentation/Codebooks/Release7.0/Codebuch_Erziehung_de__pairfam_Welle_7_2014-15.pdf"
"twinlife","ZA6701_person_v3-0-0","aas0400s","extracurricular activities sibling: clubs","Ausserschulische Aktivitaeten Geschwister: AGs",,"twinlife-2014-F2F_Modul6_Betreuung","aas0100s",4,"Adapted from: Panel analysis of intimate relationships and family dynamics (pairfam): Pairfam Codebook Child Wave 7 2014/2015.","Adaptiert von: Beziehungs- und Familienpanel (pairfam): Pairfam Codebuch Erziehung Welle 7 2014/2015. ; http://www.pairfam.de/fileadmin/user_upload/redakteur/publis/Dokumentation/Codebooks/Release7.0/Codebuch_Erziehung_de__pairfam_Welle_7_2014-15.pdf"
