"study","questionnaire","question","item","number","concept","text","text_de","instruction","instruction_de","answer_list","scale","filter","goto","label","template.id","range","scripternotes","old.template.id","dataset","var_fix","description","description_de"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","bir0100",,1,,"What is your date of birth?","Wann sind Sie geboren?",,,"mis","int",,,,,,,,,,,
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","bir0101",,2,,"What is your date of birth?","Wann sind Sie geboren?",,,"mis","int",,,,,,,,,,,
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","bir0102",,3,,"What is your date of birth?","Wann sind Sie geboren?",,,"mis","int",,,,,,,,,,,
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","fam0100",,4,,"What is your marital status?","Welchen Familienstand haben Sie?",,,"fam","cat",,,,,,,,,,"The German Socio-Economic Panel Study (SOEP): SOEP Core Study Individual 2014","TNS Infratest Sozialforschung. 2014. SOEP 2014 - Erhebungsinstrumente 2014 (Welle 31) des Sozio-oekonomischen Panels: Personenfragebogen, Altstichproben. SOEP Survey Papers 235: Series A. Berlin: DIW/SOEP ; [[URL link]](http://panel.gsoep.de/soep-docs/surveypapers/diw_ssp0235.pdf)"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","fam0200",,5,,"Are you in a serious / permanent relationship?","Haben Sie derzeit eine feste Partnerschaft?",,,"yn","cat","fam0100 != 1 & fam0100 != 3 & ptyp != 110 & ptyp != 120",,,,,,,,,"The German Socio-Economic Panel Study (SOEP): SOEP Core Study Individual 2014","TNS Infratest Sozialforschung. 2014. SOEP 2014 - Erhebungsinstrumente 2014 (Welle 31) des Sozio-oekonomischen Panels: Personenfragebogen, Altstichproben. SOEP Survey Papers 235: Series A. Berlin: DIW/SOEP ; [[URL link]](http://panel.gsoep.de/soep-docs/surveypapers/diw_ssp0235.pdf)"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","fam0300",,6,,"What is your partner's sex?","Welches Geschlecht hat Ihr Partner?",,,"sex","cat","fam0200 == 1",,,,,,,,,"The German Socio-Economic Panel Study (SOEP): SOEP Core Study Individual 2014","TNS Infratest Sozialforschung. 2014. SOEP 2014 - Erhebungsinstrumente 2014 (Welle 31) des Sozio-oekonomischen Panels: Personenfragebogen, Altstichproben. SOEP Survey Papers 235: Series A. Berlin: DIW/SOEP ; [[URL link]](http://panel.gsoep.de/soep-docs/surveypapers/diw_ssp0235.pdf)"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","edu0100",,7,,"Do you go to school?","Besuchen Sie derzeit eine allgemeinbildende Schule?",,,"edu0100","cat",,,,,,,,,,"Adapted from: The German Socio-Economic Panel Study (SOEP): SOEP Core Study Youth 2014","Adaptiert von: TNS Infratest Sozialforschung. 2014. SOEP 2014 - Erhebungsinstrumente 2014 (Welle 31) des Sozio-oekonomischen Panels: Jugendfragebogen, Altstichproben. SOEP Survey Papers 238: Series A. Berlin: DIW/SOEP ; [[URL link]](http://panel.gsoep.de/soep-docs/surveypapers/diw_ssp0238.pdf)"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","edu0400",,8,,"What school are you currently attending?","Welche Schule besuchen Sie zurzeit?",,,"edu0400","cat","edu0100 == 2",,,,,,,,,"The German Socio-Economic Panel Study (SOEP): SOEP Core Study Individual 2003 ; [[URL link]](https://www.diw.de/documents/dokumentenarchiv/17/diw_01.c.38957.de/personen_en.409727.pdf)","Sozio-oekonomisches Panel (SOEP): SOEP Personenfragebogen 2003 ; [[URL link]](https://www.diw.de/documents/dokumentenarchiv/17/diw_01.c.38383.de/personen_2003.pdf)"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","edu0401",,9,,"What school are you currently attending?","Welche Schule besuchen Sie zurzeit?",,,,"chr","edu0400 == 10",,,,,,,,,"The German Socio-Economic Panel Study (SOEP): SOEP Core Study Individual 2003 ; [[URL link]](https://www.diw.de/documents/dokumentenarchiv/17/diw_01.c.38957.de/personen_en.409727.pdf)","Sozio-oekonomisches Panel (SOEP): SOEP Personenfragebogen 2003 ; [[URL link]](https://www.diw.de/documents/dokumentenarchiv/17/diw_01.c.38383.de/personen_2003.pdf)"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","edu0402",,10,,"What grade are you in at this school? Note: If on summer vacation, please state the grade you will start in fall.","Welche Klasse besuchen Sie auf dieser Schule? Anmerkung: Wenn gerade Sommerferien sind, geben Sie bitte an, in welche Klasse Sie nach den Sommerferien kommen.",,,"mis","int","edu0100 == 2",,,,,,,,,"Adapted from: Panel analysis of intimate relationships and family dynamics (pairfam): Pairfam Codebook Child Wave 4 2011/12","Adaptiert von: Beziehungs- und Familienpanel (pairfam): Pairfam Codebuch Kind Welle 4 2011/12 ; [[URL link]](http://www.pairfam.de/fileadmin/user_upload/redakteur/publis/Dokumentation/Codebooks/Release7.0/Codebuch_Kind_de__pairfam_Welle_4_2011-12.pdf)"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","edu0403",,11,,"Which federal state are you going to school in?","In welchem Bundesland gehen Sie zur Schule?",,,"nuts1","cat","edu0100 == 2",,,,,,,,,"The German Socio-Economic Panel Study (SOEP): SOEP Core Study Individual 2003 ; [[URL link]](https://www.diw.de/documents/dokumentenarchiv/17/diw_01.c.38957.de/personen_en.409727.pdf)","Sozio-oekonomisches Panel (SOEP): SOEP Personenfragebogen 2003 ; [[URL link]](https://www.diw.de/documents/dokumentenarchiv/17/diw_01.c.38383.de/personen_2003.pdf)"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","cer1400",,12,,"Please report the maths and German grades of your last report card.","Bitte geben Sie die Mathe- und Deutschnote Ihres letzten Jahreszeugnisses an.",,,"mis","dec","edu0100 == 2",,,,,,,,,"Item developed for TwinLife","Fuer TwinLife entwickeltes Item"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","cer1500",,13,,"Please report the maths and German grades of your last report card.","Bitte geben Sie die Mathe- und Deutschnote Ihres letzten Jahreszeugnisses an.",,,"mis","dec","edu0100 == 2",,,,,,,,,"Item developed for TwinLife","Fuer TwinLife entwickeltes Item"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","eca0100",,14,,"What is your highest school-leaving qualification?","Welchen hoechsten Schulabschluss haben Sie erreicht?",,,"eca0100","cat",,,,,,,,,,"The German Socio-Economic Panel Study (SOEP): SOEP Core Study Individual 2003 ; [[URL link]](https://www.diw.de/documents/dokumentenarchiv/17/diw_01.c.38957.de/personen_en.409727.pdf)","Sozio-oekonomisches Panel (SOEP): SOEP Personenfragebogen 2003 ; [[URL link]](https://www.diw.de/documents/dokumentenarchiv/17/diw_01.c.38383.de/personen_2003.pdf)"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","eca0101",,15,,"What is your highest school-leaving qualification?","Welchen hoechsten Schulabschluss haben Sie erreicht?",,,,"chr","eca0100 == 6",,,,,,,,,"The German Socio-Economic Panel Study (SOEP): SOEP Core Study Life Course 2012","TNS Infratest Sozialforschung. 2013. SOEP 2012 - Erhebungsinstrumente 2012 (Welle 29) des Sozio-oekonomischen Panels: Lebenslauffragebogen, Altstichproben. SOEP Survey Papers 160: Series A. Berlin: DIW/SOEP.
 ; [[URL link]](http://www.diw.de/documents/dokumentenarchiv/17/diw_01.c.56576.de/lebenslauf_2012.pdf; https://www.econstor.eu/bitstream/10419/88782/1/775837709.pdf)"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","eca0105",,16,,"Please specify your final grade on your highest educational degree/diploma/qualification. Please translate grades for foreign degrees into the German grade system.","Bitte geben Sie die Abschlussnote Ihres hoechsten Schulabschlusses an.",,,"mis","dec","eca0100 >= 2 & eca0100 <= 6",,,,,,,,,"Adapted from: The German Socio-Economic Panel Study (SOEP): SOEP Core Study Youth 2014","Adaptiert von: TNS Infratest Sozialforschung. 2014. SOEP 2014 - Erhebungsinstrumente 2014 (Welle 31) des Sozio-oekonomischen Panels: Jugendfragebogen, Altstichproben. SOEP Survey Papers 238: Series A. Berlin: DIW/SOEP ; [[URL link]](http://panel.gsoep.de/soep-docs/surveypapers/diw_ssp0238.pdf)"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","eca0110",,17,,"Have you attained this degree at a German school?","Haben Sie diesen Abschluss an einer deutschen Schule erworben?",,,"yn","cat","eca0100 >= 2 & eca0100 <= 6",,,,,,,,,"National Educational Panel Study (NEPS): NEPS SC6 Starting Cohort 6: Adults, Wave 6, 2013","Nationales Bildungspanel (NEPS): Startkohorte 6: Erwachsene (SC6), Welle 6, Erhebungsinstrumente (Feldversion) ; [[URL link]](https://www.neps-data.de/Portals/0/NEPS/Datenzentrum/Forschungsdaten/SC6/Feldversionen/SC6_Q_w6_de.pdf)"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","eca0200",,18,,"What educational degree / diploma / qualification did you attain? If you have attained more than one, please state the highest.","Welchen Ausbildungs- oder Studienabschluss haben Sie gemacht? Falls Sie mehrere Ausbildungsabschluesse haben, geben Sie bitte den hoechsten an.",,,"eca0200","cat","eca0100 != 99",,,,,,,,,"Adapted from: The German Socio-Economic Panel Study (SOEP): SOEP Core Study Youth 2014","Adaptiert von: TNS Infratest Sozialforschung. 2014. SOEP 2014 - Erhebungsinstrumente 2014 (Welle 31) des Sozio-oekonomischen Panels: Jugendfragebogen, Altstichproben. SOEP Survey Papers 238: Series A. Berlin: DIW/SOEP ; [[URL link]](http://panel.gsoep.de/soep-docs/surveypapers/diw_ssp0238.pdf)"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","emp0100",,19,,"Have you done paid work during the last 7 days, even if only for an hour or a few hours?","Haben Sie waehrend der letzten 7 Tage irgendeine bezahlte Arbeit ausgeuebt, auch wenn dies nur fuer eine Stunde oder fuer wenige Stunden war?",,,"yn","cat",,,,,,,,,,"The German Socio-Economic Panel Study (SOEP): SOEP Core Study Individual 2014","TNS Infratest Sozialforschung. 2014. SOEP 2014 - Erhebungsinstrumente 2014 (Welle 31) des Sozio-oekonomischen Panels: Personenfragebogen, Altstichproben. SOEP Survey Papers 235: Series A. Berlin: DIW/SOEP ; [[URL link]](http://panel.gsoep.de/soep-docs/surveypapers/diw_ssp0235.pdf)"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","emp0200",,20,,"Are you currently on maternity leave (Mutterschutz) or on statutory parental leave (Elternzeit)?","Sind Sie zurzeit im Mutterschutz oder in der gesetzlich geregelten Elternzeit?",,,"emp0200","cat",,,,,,,,,,"The German Socio-Economic Panel Study (SOEP): SOEP Core Study Individual 2014","TNS Infratest Sozialforschung. 2014. SOEP 2014 - Erhebungsinstrumente 2014 (Welle 31) des Sozio-oekonomischen Panels: Personenfragebogen, Altstichproben. SOEP Survey Papers 235: Series A. Berlin: DIW/SOEP ; [[URL link]](http://panel.gsoep.de/soep-docs/surveypapers/diw_ssp0235.pdf)"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","emp0300",,21,,"Are you officially registered unemployed at the Federal Employment Agency (Agentur fuer Arbeit)?","Sind Sie zurzeit beim Arbeitsamt arbeitslos gemeldet?",,,"yn","cat",,,,,,,,,,"The German Socio-Economic Panel Study (SOEP): SOEP Core Study Individual 2014","TNS Infratest Sozialforschung. 2014. SOEP 2014 - Erhebungsinstrumente 2014 (Welle 31) des Sozio-oekonomischen Panels: Personenfragebogen, Altstichproben. SOEP Survey Papers 235: Series A. Berlin: DIW/SOEP ; [[URL link]](http://panel.gsoep.de/soep-docs/surveypapers/diw_ssp0235.pdf)"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","edu0300",,22,,"Are you currently in education or training? In other words, are you attending school or higher education (including doctorate / Ph.D.), completing an apprenticeship or vocational training, or in further education or training?","Sind Sie derzeit in Ausbildung? Das heisst: Besuchen Sie eine Schule oder Hochschule (einschliesslich Promotion), machen Sie eine Berufsausbildung oder nehmen Sie an einem Weiterbildungslehrgang teil?",,,"yn","cat",,,,,,,,,,"The German Socio-Economic Panel Study (SOEP): SOEP Core Study Individual 2014","TNS Infratest Sozialforschung. 2014. SOEP 2014 - Erhebungsinstrumente 2014 (Welle 31) des Sozio-oekonomischen Panels: Personenfragebogen, Altstichproben. SOEP Survey Papers 235: Series A. Berlin: DIW/SOEP ; [[URL link]](http://panel.gsoep.de/soep-docs/surveypapers/diw_ssp0235.pdf)"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","edu0301",,23,,"What type of education or training are you pursuing?","Was fuer eine Ausbildung oder Weiterbildung ist das genau?",,,"edu0301","cat",,,,,,,,,,"The German Socio-Economic Panel Study (SOEP): SOEP Core Study Individual 2014","TNS Infratest Sozialforschung. 2014. SOEP 2014 - Erhebungsinstrumente 2014 (Welle 31) des Sozio-oekonomischen Panels: Personenfragebogen, Altstichproben. SOEP Survey Papers 235: Series A. Berlin: DIW/SOEP ; [[URL link]](http://panel.gsoep.de/soep-docs/surveypapers/diw_ssp0235.pdf)"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","edu0307",,24,,"What type of vocational training are you pursuing?","Was fuer eine berufliche Ausbildung ist das?",,,"edu0307","cat","edu0300 == 1",,,,,,,,,"The German Socio-Economic Panel Study (SOEP): SOEP Core Study Individual 2003 ; [[URL link]](https://www.diw.de/documents/dokumentenarchiv/17/diw_01.c.38957.de/personen_en.409727.pdf)","Sozio-oekonomisches Panel (SOEP): SOEP Personenfragebogen 2003 ; [[URL link]](https://www.diw.de/documents/dokumentenarchiv/17/diw_01.c.38383.de/personen_2003.pdf)"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","edu0308",,25,,"What type of vocational training are you pursuing?","Was fuer eine berufliche Ausbildung ist das?",,,,"chr","edu0307 == 9",,,,,,,,,"The German Socio-Economic Panel Study (SOEP): SOEP Core Study Individual 2003 ; [[URL link]](https://www.diw.de/documents/dokumentenarchiv/17/diw_01.c.38957.de/personen_en.409727.pdf)","Sozio-oekonomisches Panel (SOEP): SOEP Personenfragebogen 2003 ; [[URL link]](https://www.diw.de/documents/dokumentenarchiv/17/diw_01.c.38383.de/personen_2003.pdf)"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","edu0303",,26,,"What type of higher education are you pursuing?","Was fuer eine Hochschulausbildung ist das?",,,"edu0303","cat","edu0300 == 1",,,,,,,,,"The German Socio-Economic Panel Study (SOEP): SOEP Core Study Individual 2003 ; [[URL link]](https://www.diw.de/documents/dokumentenarchiv/17/diw_01.c.38957.de/personen_en.409727.pdf)","Sozio-oekonomisches Panel (SOEP): SOEP Personenfragebogen 2003 ; [[URL link]](https://www.diw.de/documents/dokumentenarchiv/17/diw_01.c.38383.de/personen_2003.pdf)"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","edu0304",,27,,"What type of higher education are you pursuing?","Was fuer eine Hochschulausbildung ist das?",,,,"chr","edu0303 == 4",,,,,,,,,"The German Socio-Economic Panel Study (SOEP): SOEP Core Study Individual 2003 ; [[URL link]](https://www.diw.de/documents/dokumentenarchiv/17/diw_01.c.38957.de/personen_en.409727.pdf)","Sozio-oekonomisches Panel (SOEP): SOEP Personenfragebogen 2003 ; [[URL link]](https://www.diw.de/documents/dokumentenarchiv/17/diw_01.c.38383.de/personen_2003.pdf)"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","edu0305",,28,,"What type of further training/retraining are you pursuing?","Was fuer eine Weiterbildung/Umschulung ist das?",,,"edu0305","cat","edu0300 == 1",,,,,,,,,"The German Socio-Economic Panel Study (SOEP): SOEP Core Study Individual 2003 ; [[URL link]](https://www.diw.de/documents/dokumentenarchiv/17/diw_01.c.38957.de/personen_en.409727.pdf)","Sozio-oekonomisches Panel (SOEP): SOEP Personenfragebogen 2003 ; [[URL link]](https://www.diw.de/documents/dokumentenarchiv/17/diw_01.c.38383.de/personen_2003.pdf)"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","edu0306",,29,,"What type of further training/retraining are you pursuing?","Was fuer eine Weiterbildung/Umschulung ist das?",,,,"chr","edu0305 == 5",,,,,,,,,"The German Socio-Economic Panel Study (SOEP): SOEP Core Study Individual 2014","TNS Infratest Sozialforschung. 2014. SOEP 2014 - Erhebungsinstrumente 2014 (Welle 31) des Sozio-oekonomischen Panels: Personenfragebogen, Altstichproben. SOEP Survey Papers 235: Series A. Berlin: DIW/SOEP ; [[URL link]](http://panel.gsoep.de/soep-docs/surveypapers/diw_ssp0235.pdf)"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","emp0400",,30,,"Are you currently in paid employment? Which of the following applies best to your employment status? Pensioners with an employment contract are regarded as employed here.","Ueben Sie derzeit eine Erwerbstaetigkeit aus? Was trifft fuer Sie zu? Rentner mit Arbeitsvertrag gelten hier als erwerbstaetig.",,,"emp0400","cat",,,,,,,,,,"The German Socio-Economic Panel Study (SOEP): SOEP Core Study Individual 2003 ; [[URL link]](https://www.diw.de/documents/dokumentenarchiv/17/diw_01.c.38957.de/personen_en.409727.pdf)","Sozio-oekonomisches Panel (SOEP): SOEP Personenfragebogen 2003 ; [[URL link]](https://www.diw.de/documents/dokumentenarchiv/17/diw_01.c.38383.de/personen_2003.pdf)"
